,Unnamed: 0,Rank,Grade,Channel name,Video Uploads,Subscribers,Video views,About,IsEnglish,TokenWords
10,22,23rd,A+ ,SAB TV,19358,11347420,9572788450,"SAB TV is India's only family comedy entertainment channel with a core brand promise of 'Asli Mazaa SAB Ke Saath Aata Hai'. 

Watch SAB TV serials / SAB TV shows, the best in Hindi comedy, drama, romance, silent comedy, supernatural, science fiction, and stand up comedy here : https://www.youtube.com/user/sabtv

Latest episodes of hit shows like Taarak Mehta Ka Ooltah Chasmah, Ichhapyaari Naagin, Trideviyan are uploaded every day, soon after the telecast on SAB TV live channel. 

Famous old SAB TV shows like Badi Door Se Aye Hain, Comedy Club, Baal veer, FIR which are currently off air are available too!

Click here to Subscribe to SAB TV all shows, all episodes : https://www.youtube.com/user/sabtv/playlists

This is the official SAB TV channel on YouTube.

SAB TV is a part of the network of Television channels owned by Sony Pictures Networks and was launched in 1999.

Watch Taarak Mehta Ka Ooltah Chashma Here : https://www.youtube.com/playlist?list=PL6Rtnh6YJK7a6aWvIzL",True,"['SAB', 'TV', 'is', 'India', 'only', 'family', 'comedy', 'entertainment', 'channel', 'with', 'a', 'core', 'brand', 'promise', 'of', 'Mazaa', 'SAB', 'Ke', 'Saath', 'Aata', 'Hai', 'Watch', 'SAB', 'TV', 'serials', 'SAB', 'TV', 'shows', 'the', 'best', 'in', 'Hindi', 'comedy', 'drama', 'romance', 'silent', 'comedy', 'supernatural', 'science', 'fiction', 'and', 'stand', 'up', 'comedy', 'here', 'Latest', 'episodes', 'of', 'hit', 'shows', 'like', 'Taarak', 'Mehta', 'Ka', 'Ooltah', 'Chasmah', 'Ichhapyaari', 'Naagin', 'Trideviyan', 'are', 'uploaded', 'every', 'day', 'soon', 'after', 'the', 'telecast', 'on', 'SAB', 'TV', 'live', 'channel', 'Famous', 'old', 'SAB', 'TV', 'shows', 'like', 'Badi', 'Door', 'Se', 'Aye', 'Hain', 'Comedy', 'Club', 'Baal', 'veer', 'FIR', 'which', 'are', 'currently', 'off', 'air', 'are', 'available', 'too', 'Click', 'here', 'to', 'Subscribe', 'to', 'SAB', 'TV', 'all', 'shows', 'all', 'episodes', 'This', 'is', 'the', 'official', 'SAB', 'TV', 'channel', 'on', 'YouTube', 'SAB', 'TV', 'is', 'a', 'part', 'of', 'the', 'network', 'of', 'Television', 'channels', 'owned', 'by', 'Sony', 'Pictures', 'Networks', 'and', 'was', 'launched', 'in', '1999', 'Watch', 'Taarak', 'Mehta', 'Ka', 'Ooltah', 'Chashma', 'Here']"
11,23,24th,A+ ,DeadloxMC,1833,2137907,245437560,"Deadlox Does Gaming: Minecraft, Roblox, and Fortnite Videos Daily. Family Friendly!!",True,"['Deadlox', 'Does', 'Gaming', 'Minecraft', 'Roblox', 'and', 'Fortnite', 'Videos', 'Daily', 'Family', 'Friendly']"
12,26,27th,A+ ,ibighit,277,16924523,3437613314,"()     ,  ,      .",False,[]
13,30,31st,A+ ,Zee Bangla,79497,3102246,2867901827,"Welcome to the official YouTube channel of Zee Bangla.

Catch the most watched Bengali shows on Indian television, with the best stories and talents from Bengal. Get your daily dose of entertainment capturing life's myriad moments, because Jibon Mane Zee Bangla.

#bangla #zeebangla #zeebanglashow #banglatvserial #bengaliserial #comedyshow #realityshow #entertainment #zee5 #zeetvshow",True,"['Welcome', 'to', 'the', 'official', 'YouTube', 'channel', 'of', 'Zee', 'Bangla', 'Catch', 'the', 'most', 'watched', 'Bengali', 'shows', 'on', 'Indian', 'television', 'with', 'the', 'best', 'stories', 'and', 'talents', 'from', 'Bengal', 'Get', 'your', 'daily', 'dose', 'of', 'entertainment', 'capturing', 'life', 'myriad', 'moments', 'because', 'Jibon', 'Mane', 'Zee', 'Bangla', 'bangla', 'zeebangla', 'zeebanglashow', 'banglatvserial', 'bengaliserial', 'comedyshow', 'realityshow', 'entertainment', 'zee5', 'zeetvshow']"
14,35,36th,A+ ,Colors TV,23504,12466776,8354699608,"Welcome to the official main channel of Colors TV!

Show some love people by subscribing to our channel: http://www.youtube.com/user/colorstv?sub_confirmation=1
Follow us on Google+: https://plus.google.com/108336806150063826507
Follow us on Facebook: https://www.facebook.com/ColorsTV
Follow us on Twitter: https://twitter.com/ColorsTV",True,"['Welcome', 'to', 'the', 'official', 'main', 'channel', 'of', 'Colors', 'TV', 'Show', 'some', 'love', 'people', 'by', 'subscribing', 'to', 'our', 'channel', 'Follow', 'us', 'on', 'Follow', 'us', 'on', 'Facebook', 'Follow', 'us', 'on', 'Twitter']"
15,36,37th,A+ ,Goldmines Telefilms,206,14011180,555853544,"Welcome to Goldmines Telefilms. One of the Finest Destination for Entertainment Content on Youtube. Now Watch Premiere of New South Hindi Dubbed Movies on Every Saturday & Also Enjoy Full Length Blockbuster Hindi Movies, Songs, Comedy Scenes and Much More. 

Subscribe NOW!",True,"['Welcome', 'to', 'Goldmines', 'Telefilms', 'One', 'of', 'the', 'Finest', 'Destination', 'for', 'Entertainment', 'Content', 'on', 'Youtube', 'Now', 'Watch', 'Premiere', 'of', 'New', 'South', 'Hindi', 'Dubbed', 'Movies', 'on', 'Every', 'Saturday', 'Also', 'Enjoy', 'Full', 'Length', 'Blockbuster', 'Hindi', 'Movies', 'Songs', 'Comedy', 'Scenes', 'and', 'Much', 'More', 'Subscribe', 'NOW']"
16,40,41st,A+ ,GMA Network,65757,6270681,7373478009,The OFFICIAL YouTube channel of GMA Network.,True,"['The', 'OFFICIAL', 'YouTube', 'channel', 'of', 'GMA', 'Network']"
17,47,48th,A+ ,GR6 EXPLODE,2517,16813027,7609346952,"GR6 Explode, um dos maiores canais de Funk.

Contrate nossos artistas: (11) 2201-3648

 2019 GR6 Explode/GR6 Filmes",False,"['GR6', 'Explode', 'um', 'dos', 'maiores', 'canais', 'de', 'Funk', 'Contrate', 'nossos', 'artistas', '11', '2019', 'GR6', 'Filmes']"
18,48,49th,A+ ,Sony Music India,2204,15862389,6738087055,"SONY MUSIC ENTERTAINMENT is the number one music company in the world & is the home to over 10,000 artists ranging from Elvis to Britney Spears and Jennifer Lopez. SONY MUSIC India boasts of Film and Non-Film Superstars that include Vishesh Films (Raaz-The Mystery Continues),(Jannat), Mani Ratnam (Guru), UTV (Rang De Basanti),  Dharma productions (Kabhi Alvida Naa Kehna, Kabhie Khushie Kabhi Gham, Kuch Kuch Hota Hai, Kal Ho Naa Ho), Aamir Khan Productions (Lagaan), A R Rahman's (Vande Mataram), Kailash Kher's (Kailasa), Jagjit Singh--Gulzar's (Marasim & Koi Baat Chale), Strings (Dhaani & Koi Aanay Wala Hai) and the Indian Idol series among many.",True,"['SONY', 'MUSIC', 'ENTERTAINMENT', 'is', 'the', 'number', 'one', 'music', 'company', 'in', 'the', 'world', 'is', 'the', 'home', 'to', 'over', 'artists', 'ranging', 'from', 'Elvis', 'to', 'Britney', 'Spears', 'and', 'Jennifer', 'Lopez', 'SONY', 'MUSIC', 'India', 'boasts', 'of', 'Film', 'and', 'Superstars', 'that', 'include', 'Vishesh', 'Films', 'Mystery', 'Continues', 'Jannat', 'Mani', 'Ratnam', 'Guru', 'UTV', 'Rang', 'De', 'Basanti', 'Dharma', 'productions', 'Kabhi', 'Alvida', 'Naa', 'Kehna', 'Kabhie', 'Khushie', 'Kabhi', 'Gham', 'Kuch', 'Kuch', 'Hota', 'Hai', 'Kal', 'Ho', 'Naa', 'Ho', 'Aamir', 'Khan', 'Productions', 'Lagaan', 'A', 'R', 'Rahman', 'Vande', 'Mataram', 'Kailash', 'Kher', 'Kailasa', 'Jagjit', 'Singh', 'Gulzar', 'Marasim', 'Koi', 'Baat', 'Chale', 'Strings', 'Dhaani', 'Koi', 'Aanay', 'Wala', 'Hai', 'and', 'the', 'Indian', 'Idol', 'series', 'among', 'many']"
19,50,51st,A+ ,T-Series Apna Punjab,3437,10055513,5384101851,"Get all the new punjabi songs and videos only on T-Series ApnaPunjab, the official Punjabi channel of T-Series on YouTube. T-Series believes in bringing world close together through its music. SUBSCRIBE our channel for all new & latest punjabi songs!! #newpunjabisongs
#punjabisongs2018 #newsongs #punjabimusic",True,"['Get', 'all', 'the', 'new', 'punjabi', 'songs', 'and', 'videos', 'only', 'on', 'ApnaPunjab', 'the', 'official', 'Punjabi', 'channel', 'of', 'on', 'YouTube', 'believes', 'in', 'bringing', 'world', 'close', 'together', 'through', 'its', 'music', 'SUBSCRIBE', 'our', 'channel', 'for', 'all', 'new', 'latest', 'punjabi', 'songs', 'newpunjabisongs', 'punjabisongs2018', 'newsongs', 'punjabimusic']"
20,58,59th,A ,Maroon5VEVO,111,15720338,10355362290,"Maroon 5 on Vevo - Official Music Videos, Live Performances, Interviews and more...",True,"['Maroon', '5', 'on', 'Vevo', 'Official', 'Music', 'Videos', 'Live', 'Performances', 'Interviews', 'and', 'more']"
21,63,64th,A ,Ed Sheeran,122,33961184,14521211040,Ed Sheeran's official YouTube channel!,False,"['Ed', 'Sheeran', 'official', 'YouTube', 'channel']"
22,64,65th,A ,SonyMusicIndiaVEVO,2958,13215636,6215499269,"Sony Music India on Vevo - Official Music Videos, Live Performances, Interviews and more...",True,"['Sony', 'Music', 'India', 'on', 'Vevo', 'Official', 'Music', 'Videos', 'Live', 'Performances', 'Interviews', 'and', 'more']"
23,66,67th,A ,POPS Kids,3751,5621106,4908451376,"POPS Kids - Ngoi Nha Giao Duc Va Giai Tri Hang au Cho Tre
POPS Kids la kenh giai tri, giao duc hang au cho thieu nhi voi noi dung an toan va a dang. POPS Kids cung cap cac video ca nhac thieu nhi nhu Mam Choi La, cac clip huong dan ve tranh trong series Sieu Nhan But Chi va nhieu chuyen muc hap dan khac. 

POPS Kids is Vietnams #1 kids daily digital entertainment and education destination trusted and loved by kids and parents. POPS Kids provides kid music videos such as Mam Choi La, how to draw videos in Sieu Nhan But Chi series and many other great content. 
Let learn, play and enjoy with POPS Kids

ang ky/Subscribe YouTube channel: https://goo.gl/37Hb7g
Download the app now POPS Kids TV: http://bit.ly/2feYEys
ang ky/Subscribe Facebook: https://www.facebook.com/ pops.kids 
ang ky/Subscribe Twitter: https://twitter.com/Pops_Vietnam",False,"['POPS', 'Kids', 'Ngoi', 'Nha', 'Giao', 'Duc', 'Va', 'Giai', 'Tri', 'Hang', 'au', 'Cho', 'Tre', 'POPS', 'Kids', 'la', 'kenh', 'giai', 'tri', 'giao', 'duc', 'hang', 'au', 'cho', 'thieu', 'nhi', 'voi', 'noi', 'dung', 'an', 'toan', 'va', 'a', 'dang', 'POPS', 'Kids', 'cung', 'cap', 'cac', 'video', 'ca', 'nhac', 'thieu', 'nhi', 'nhu', 'Mam', 'Choi', 'La', 'cac', 'clip', 'huong', 'dan', 've', 'tranh', 'trong', 'series', 'Sieu', 'Nhan', 'But', 'Chi', 'va', 'nhieu', 'chuyen', 'muc', 'hap', 'dan', 'khac', 'POPS', 'Kids', 'is', 'Vietnams', '1', 'kids', 'daily', 'digital', 'entertainment', 'and', 'education', 'destination', 'trusted', 'and', 'loved', 'by', 'kids', 'and', 'parents', 'POPS', 'Kids', 'provides', 'kid', 'music', 'videos', 'such', 'as', 'Mam', 'Choi', 'La', 'how', 'to', 'draw', 'videos', 'in', 'Sieu', 'Nhan', 'But', 'Chi', 'series', 'and', 'many', 'other', 'great', 'content', 'Let', 'learn', 'play', 'and', 'enjoy', 'with', 'POPS', 'Kids', 'ang', 'YouTube', 'channel', 'Download', 'the', 'app', 'now', 'POPS', 'Kids', 'TV', 'ang', 'Facebook', 'ang', 'Twitter']"
24,72,73rd,A ,FGTeeV,1169,7910214,8437768629,"FGTeeV, the Family Gaming team, brings you the premiere YouTube channel for family gamers. Meet FGTeeV Duddy his wife FGTEEV Mom or Moomy, their sons Shawn, Chase & Mike & their daughter Lexi. The hyperactive crew of family gamers invites you to dive first into their world of gaming, sketch comedy, & toy unboxing. Whether its the XBOX One, Wii U, Playstation 4 or Nintendo Switch... FGTeeV has a gameplay for you. FGTeeV has some of the best gameplays from video games like Minecraft, Angry Birds, FNAF, Mario Kart, Super Mario Bros, Amazing Frog, Plants vs Zombies, Pokemon Go,  Hello Neighbor, Slither.io, Roblox, Scribblenauts & more! FGTeeVs gameplays are part game review & part scripted/improvised comedy sketch videos. On occasion FGTEEV also does creative unboxing videos like Yoshi's Surprise Eggs, Hello Neighbor Toys, Lego Dimensions Build & Play and more! Subscribe for weekly family gaming fun! :)
99NADL",True,"['FGTeeV', 'the', 'Family', 'Gaming', 'team', 'brings', 'you', 'the', 'premiere', 'YouTube', 'channel', 'for', 'family', 'gamers', 'Meet', 'FGTeeV', 'Duddy', 'his', 'wife', 'FGTEEV', 'Mom', 'or', 'Moomy', 'their', 'sons', 'Shawn', 'Chase', 'Mike', 'their', 'daughter', 'Lexi', 'The', 'hyperactive', 'crew', 'of', 'family', 'gamers', 'invites', 'you', 'to', 'dive', 'first', 'into', 'their', 'world', 'of', 'gaming', 'sketch', 'comedy', 'toy', 'unboxing', 'Whether', 'its', 'the', 'XBOX', 'One', 'Wii', 'U', 'Playstation', '4', 'or', 'Nintendo', 'Switch', 'FGTeeV', 'has', 'a', 'gameplay', 'for', 'you', 'FGTeeV', 'has', 'some', 'of', 'the', 'best', 'gameplays', 'from', 'video', 'games', 'like', 'Minecraft', 'Angry', 'Birds', 'FNAF', 'Mario', 'Kart', 'Super', 'Mario', 'Bros', 'Amazing', 'Frog', 'Plants', 'vs', 'Zombies', 'Pokemon', 'Go', 'Hello', 'Neighbor', 'Roblox', 'Scribblenauts', 'more', 'FGTeeVs', 'gameplays', 'are', 'part', 'game', 'review', 'part', 'comedy', 'sketch', 'videos', 'On', 'occasion', 'FGTEEV', 'also', 'does', 'creative', 'unboxing', 'videos', 'like', 'Yoshi', 'Surprise', 'Eggs', 'Hello', 'Neighbor', 'Toys', 'Lego', 'Dimensions', 'Build', 'Play', 'and', 'more', 'Subscribe', 'for', 'weekly', 'family', 'gaming', 'fun', '99NADL']"
25,81,82nd,A ,Get Movies,2747,20186240,17362242300,"GetMovies. The YouTube destination for Russians who want to watch cartoons and other kinds of family programming.

GetMovies - First family channel! 
Here you will find cartoons for every taste - for kids, for older children, educational cartoons, domestic and foreign cartoons, and also cartoons for adults. 
A huge number of educational programs about nature, about sports, about art and history, entertainment, Comedy and comedian shows. And of course movies! - documentary and fiction, modern and classic, popular and special for lovers of cinema...",True,"['GetMovies', 'The', 'YouTube', 'destination', 'for', 'Russians', 'who', 'want', 'to', 'watch', 'cartoons', 'and', 'other', 'kinds', 'of', 'family', 'programming', 'GetMovies', 'First', 'family', 'channel', 'Here', 'you', 'will', 'find', 'cartoons', 'for', 'every', 'taste', 'for', 'kids', 'for', 'older', 'children', 'educational', 'cartoons', 'domestic', 'and', 'foreign', 'cartoons', 'and', 'also', 'cartoons', 'for', 'adults', 'A', 'huge', 'number', 'of', 'educational', 'programs', 'about', 'nature', 'about', 'sports', 'about', 'art', 'and', 'history', 'entertainment', 'Comedy', 'and', 'comedian', 'shows', 'And', 'of', 'course', 'movies', 'documentary', 'and', 'fiction', 'modern', 'and', 'classic', 'popular', 'and', 'special', 'for', 'lovers', 'of', 'cinema']"
26,82,83rd,A ,SMTOWN,3274,15711312,11614803892,"Welcome to SM Entertainment Official YouTube Channel!
We deeply appreciate all of your love and support again.
You can enjoy SM artist's latest videos on SMTOWN Official YouTube Channel.",True,"['Welcome', 'to', 'SM', 'Entertainment', 'Official', 'YouTube', 'Channel', 'We', 'deeply', 'appreciate', 'all', 'of', 'your', 'love', 'and', 'support', 'again', 'You', 'can', 'enjoy', 'SM', 'artist', 'latest', 'videos', 'on', 'SMTOWN', 'Official', 'YouTube', 'Channel']"
27,83,84th,A ,Felipe Neto,1276,25069826,4455604361,Canal do Felipe Neto.,True,"['Canal', 'do', 'Felipe', 'Neto']"
28,85,86th,A ,YRF,3564,13419831,7280286813,"Films. Music. Artistes. 
At our core, were storytellers. 

From making high-budget blockbusters to youth-oriented films, from working with the biggest actors of the industry to launching young talent in films, from being the distribution house with the strongest global foothold to pioneering new formats of distribution and exploring newer territories, from launching compelling story-telling forms to the numerous digitally led innovations, Yash Raj Films (YRF) has maintained its flagship position across all verticals since its genesis.",True,"['Films', 'Music', 'Artistes', 'At', 'our', 'core', 'were', 'storytellers', 'From', 'making', 'blockbusters', 'to', 'films', 'from', 'working', 'with', 'the', 'biggest', 'actors', 'of', 'the', 'industry', 'to', 'launching', 'young', 'talent', 'in', 'films', 'from', 'being', 'the', 'distribution', 'house', 'with', 'the', 'strongest', 'global', 'foothold', 'to', 'pioneering', 'new', 'formats', 'of', 'distribution', 'and', 'exploring', 'newer', 'territories', 'from', 'launching', 'compelling', 'forms', 'to', 'the', 'numerous', 'digitally', 'led', 'innovations', 'Yash', 'Raj', 'Films', 'YRF', 'has', 'maintained', 'its', 'flagship', 'position', 'across', 'all', 'verticals', 'since', 'its', 'genesis']"
29,89,90th,A ,Zaz Official,50,649081,242240716,"Page officielle de ZAZ sur Youtube. Abonne-toi a la chaine pour avoir toutes les dernieres videos de l'artiste !
Site officiel : www.zazofficial.com",False,"['Page', 'officielle', 'de', 'ZAZ', 'sur', 'Youtube', 'a', 'la', 'chaine', 'pour', 'avoir', 'toutes', 'les', 'dernieres', 'videos', 'de', 'Site', 'officiel']"
30,91,92nd,A ,Aditya Music,14744,5940275,3871453495,"Subscribe to Aditya Music youtube channel to listen to latest telugu songs first on net, a hub for tollywood music. stay close by liking us on www.facebook.com/adityamusic visit us at www.adityamusic.com",True,"['Subscribe', 'to', 'Aditya', 'Music', 'youtube', 'channel', 'to', 'listen', 'to', 'latest', 'telugu', 'songs', 'first', 'on', 'net', 'a', 'hub', 'for', 'tollywood', 'music', 'stay', 'close', 'by', 'liking', 'us', 'on', 'visit', 'us', 'at']"
